AudioID,Category,HebrewSourceText,UsageDescription,Type,GrammarNote,TranslatorQuestion,Status
OPEN-001,open,"שלום וברכה, הגעתם למערכת תשלומים של א בלאט גמרא.","פתיחה יחידה לכל שיחה - אין ברכה נוספת אחריה",קבוע,,הגיית שם הארגון באידיש?,draft
MENU-001,menu,"למעבר לתשלום הקישו 1. לשמיעת חובות קודמים הקישו 2. להשארת הודעה הקישו 3.",תפריט ראשי מלא,קבוע,1/2/3 כספרות בודדות,"האם ""הקישו"" אחיד בכל 6 התפריטים?",draft
MENU-002,menu,"למעבר לתשלום הקישו 1. להשארת הודעה הקישו 3.","יש חוב, אין חובות קודמים",קבוע,,,draft
MENU-003,menu,"לתרומה הקישו 1. להשארת הודעה הקישו 3.","אין חוב, מותר לתרום",קבוע,"""תרומה"" שונה מ-""תשלום""",יש הבחנה ברורה באידיש?,draft
MENU-004,menu,להשארת הודעה הקישו 3.,רק הודעה,קבוע,,,draft
MENU-005,menu,למעבר לתשלום הקישו 1.,וריאציה קצרה,קבוע,,,draft
MENU-006,menu,לתרומה הקישו 1.,וריאציה קצרה,קבוע,,,draft
DEBT-001,debt,יש לך חוב על סכום,"פתיח הודעת חוב, סכום מוזרק אחריו",רכיב,משפט נחתך,היכן החיתוך נכון באידיש?,draft
DEBT-002,debt,שקלים עבור,"מחבר משותף (חוב נוכחי + כל שורה ברשימה + PURP-004)",רכיב משותף,מכיל ""עבור"",,draft
DEBT-003,debt,לא נמצא חוב פתוח.,תורם ידוע ללא חוב,קבוע,,,draft
DEBT-004,debt,לא נמצאו חובות קודמים.,תפריט חובות קודמים ריק,קבוע,,,draft
DEBT-005,debt,"לתשלום כל החובות הקישו 1. לתשלום סכום אחר הקישו 2. לסיום הקישו 9.",תפריט אחרי רשימת חובות,קבוע,"""9"" כספרה בודדת",,draft
DEBT-006,debt,"הסכום גבוה, אנא פנו לנציג.",חוב מעל 99999 - לא מוקרא מספר,קבוע,לשון רבים,,draft
PAY-001,pay,"לתשלום הסכום המלא,",פתיח תת-תפריט תשלום,רכיב,,,draft
PAY-002,pay,"שקלים, הקישו 1. לתשלום סכום אחר הקישו 2.",סיום אותו משפט,רכיב,,,draft
PAY-003,pay,אנא הזינו את הסכום בשקלים ולחצו סולמית.,בקשת סכום,קבוע,"""סולמית"" = #",מונח מקביל באידיש?,draft
PAY-004,pay,הסכום שהוזן אינו תקין. אנא נסו שוב.,סכום לא תקין,קבוע,"לשון רבים, מאוחד עם PAY-007/SYS-002",,draft
PAY-005,pay,הסכום שהוזן גבוה מדי. אנא פנו לנציג.,תשלום גבוה מדי,קבוע,לשון רבים,,draft
PAY-006,pay,התשלום התקבל בהצלחה. תודה רבה.,הצלחת תשלום (בלי תלות בשם),קבוע,,,draft
PAY-007,pay,התשלום לא הושלם. אנא נסו שוב מאוחר יותר.,כישלון תשלום,קבוע,"לשון רבים, מאוחד",,draft
PAY-008,pay,התשלום בכרטיס אשראי אינו זמין כרגע. נציג ייצור איתך קשר בהקדם. תודה.,אין טרמינל / תשלום כבוי,קבוע,לשון עתיד,ניסוח מקביל תקין?,draft
VM-001,voicemail,אנא השאירו הודעתכם לאחר הצליל.,לפני הקלטה,קבוע,ביפ מובנה בטכנוליין,,draft
VM-002,voicemail,הודעתכם התקבלה. תודה.,אחרי הקלטה,קבוע,,,draft
SYS-001,system,תודה על התקשרותך. להתראות.,סיום שיחה (הכי ממוחזר),קבוע,,,draft
SYS-002,system,אירעה שגיאה. אנא נסו שוב מאוחר יותר.,שגיאת מערכת גנרית,קבוע,"לשון רבים, מאוחד",,draft
PURP-001,purpose,גליון מתאחדת,מטרת חוב/תרומה,קבוע,מונח מוסדי,מונח/הגייה מקובלים בקהילה?,draft
PURP-002,purpose,פרנס,מטרת חוב/תרומה,קבוע,מונח מוסדי,מונח/הגייה מקובלים בקהילה?,draft
PURP-003,purpose,כללי,ברירת מחדל,קבוע,,,draft
PURP-004,purpose,המטרה הרשומה בכרטיסכם,"מטרה = ""אחר"" (טקסט חופשי)",קבוע,נעול - בלי ""עבור"" בפתיח,,draft
